text,expected_emotion,llm_predict
This offer feels wildly expensive,FRUSTRATED,FRUSTRATED
Why does tax cost so much,FRUSTRATED,FRUSTRATED
This price feels wildly expensive,FRUSTRATED,FRUSTRATED
Why is the final total still unacceptable,FRUSTRATED,FRUSTRATED
I cannot make the quoted total work,FRUSTRATED,FRUSTRATED
This is too much for this package,FRUSTRATED,FRUSTRATED
I expected better value here,FRUSTRATED,FRUSTRATED
Why does late checkout cost so much tonight,FRUSTRATED,FRUSTRATED
This is hard to accept for a standard room,FRUSTRATED,FRUSTRATED
Every add-on pushes it higher,FRUSTRATED,FRUSTRATED
This is far too high for these dates,FRUSTRATED,FRUSTRATED
Why is the weekend rate absurd,FRUSTRATED,FRUSTRATED
I expected better value than your final offer,FRUSTRATED,FRUSTRATED
"I asked for a fairer deal, not unexpected fees",FRUSTRATED,FRUSTRATED
Why does late checkout cost this much,FRUSTRATED,FRUSTRATED
I expected more flexibility than that quote,FRUSTRATED,FRUSTRATED
Why is the package still that expensive,FRUSTRATED,FRUSTRATED
Why does parking cost this much here,FRUSTRATED,FRUSTRATED
I expected fewer charges than that quote,FRUSTRATED,FRUSTRATED
Why is your quote still so high,FRUSTRATED,FRUSTRATED
Why does airport pickup cost that much,FRUSTRATED,FRUSTRATED
Not paying that for one night,FRUSTRATED,FRUSTRATED
I cannot make this rate work,FRUSTRATED,FRUSTRATED
Why is this room still unacceptable,FRUSTRATED,FRUSTRATED
Why is this room still beyond budget,FRUSTRATED,FRUSTRATED
"I asked for a fairer deal, not this expensive package",FRUSTRATED,FRUSTRATED
"I asked for a simpler room, not this expensive package",FRUSTRATED,FRUSTRATED
That charge makes this impossible,FRUSTRATED,FRUSTRATED
"I asked for something affordable, not unexpected fees",FRUSTRATED,FRUSTRATED
I expected a lower rate than this package,FRUSTRATED,FRUSTRATED
I expected something fairer than your final offer,FRUSTRATED,FRUSTRATED
I expected more flexibility than this,FRUSTRATED,FRUSTRATED
Why does dinner cost that much,FRUSTRATED,FRUSTRATED
This package feels wildly expensive,FRUSTRATED,FRUSTRATED
This is hard to accept for these dates,FRUSTRATED,FRUSTRATED
I expected something fairer than this total,FRUSTRATED,FRUSTRATED
"I asked for a fairer deal, not a premium price",FRUSTRATED,FRUSTRATED
"I asked for basic pricing, not extra charges",FRUSTRATED,FRUSTRATED
